Customer ID,Marital,Job,Home,Income,Expenses,Assets,Debt,Loan_Term,Loan_Amount,Job_type_1,Job_type_2,Credit Score
364782,married,freelance,tenant,129000,73000,0,0,60,800,1,0,54
364783,single,fixed,tenant,131000,48000,0,0,60,1000,0,1,65
364784,married,freelance,owner,200000,90000,3000,0,36,2000,1,0,49
364785,single,fixed,tenant,182000,63000,2500,0,60,900,0,1,55
364786,single,fixed,tenant,107000,46000,0,0,36,310,0,1,75
364787,married,fixed,owner,214000,75000,3500,0,60,650,0,1,84
364788,married,fixed,owner,125000,75000,10000,0,60,1600,0,1,68
364789,single,fixed,tenant,80000,35000,0,0,12,200,0,1,76
364790,married,freelance,owner,107000,90000,15000,0,60,1200,1,0,62
364791,married,parttime,tenant,80000,90000,0,0,48,1200,0,0,43
364792,married,freelance,owner,125000,60000,4000,0,48,1150,1,0,76
364793,married,fixed,owner,121000,60000,3000,0,36,650,0,1,92
364794,married,fixed,owner,199000,75000,5000,2500,60,1500,0,1,83
364795,married,fixed,tenant,170000,75000,3500,260,36,600,0,1,74
364796,single,parttime,tenant,50000,35000,0,0,18,400,0,0,33
364797,married,fixed,owner,131000,75000,4162,0,24,900,0,1,85
364798,single,freelance,tenant,330000,35000,16500,0,24,1500,1,0,62
364799,married,freelance,tenant,200000,65000,5000,2000,24,600,1,0,60
364800,married,parttime,tenant,130000,45000,750,0,48,1100,0,0,38
364801,single,fixed,tenant,137000,35000,0,0,60,1250,0,1,65
364802,single,fixed,tenant,107000,46000,0,0,60,1500,0,1,70
364803,single,fixed,owner,324000,45000,10000,0,60,1100,0,1,63
364804,married,parttime,owner,112000,105000,2000,500,60,600,0,0,76
364805,married,fixed,tenant,140000,74000,0,0,60,950,0,1,71
364806,married,fixed,owner,143000,45000,3500,0,60,1350,0,1,91
364807,married,fixed,owner,130000,60000,4000,0,36,700,0,1,81
364808,single,fixed,owner,180000,75000,4000,0,60,1000,0,1,62
364809,married,fixed,owner,251000,75000,4000,0,36,1800,0,1,94
364810,married,fixed,owner,85000,75000,5000,0,24,600,0,1,74
364811,married,fixed,owner,150000,45000,5000,3300,48,1100,0,1,93
364812,single,parttime,owner,122000,45000,2500,0,36,400,0,0,50
364813,married,parttime,tenant,198000,75000,1000,0,24,450,0,0,55
364814,married,freelance,owner,150000,75000,3000,0,36,1000,1,0,58
364815,single,fixed,tenant,170000,35000,0,0,36,1100,0,1,73
364816,married,freelance,owner,119000,45000,8500,0,24,700,1,0,67
364817,married,freelance,owner,208000,45000,13500,0,24,500,1,0,83
364818,married,fixed,owner,115000,75000,3000,0,48,800,0,1,83
364819,married,fixed,tenant,99000,70000,0,0,54,950,0,1,62
364820,married,fixed,owner,120000,45000,14000,0,60,1125,0,1,67
364821,single,fixed,tenant,90000,44000,0,0,48,1300,0,1,65
364822,married,fixed,owner,137000,75000,4000,0,60,900,0,1,83
364823,single,freelance,owner,230000,35000,50000,0,60,950,1,0,68
364824,married,fixed,owner,142000,45000,7000,3000,60,1250,0,1,54
364825,married,parttime,owner,71000,75000,3000,0,60,1500,0,0,52
364826,single,parttime,tenant,120000,35000,0,0,60,1150,0,0,45
364827,single,freelance,owner,233000,35000,15900,4500,60,2100,1,0,65
364828,married,fixed,owner,289000,75000,3500,0,36,1500,0,1,79
364829,single,fixed,tenant,128000,48000,0,0,36,450,0,1,56
364830,married,freelance,owner,150000,60000,15000,0,36,750,1,0,82
364831,married,fixed,owner,145000,60000,4000,1000,60,1600,0,1,63
364832,married,fixed,owner,90000,75000,4000,0,60,900,0,1,76
364833,married,fixed,tenant,301000,105000,0,0,60,1200,0,1,55
364834,married,freelance,owner,200000,75000,2100,1200,36,900,1,0,65
364835,married,freelance,tenant,150000,60000,500,0,12,500,1,0,69
364836,married,freelance,tenant,100000,85000,0,0,48,1000,1,0,52
364837,single,fixed,tenant,100000,35000,0,0,60,1000,0,1,72
364838,single,fixed,tenant,100000,45000,5000,0,30,500,0,1,84
364839,married,fixed,owner,155000,60000,4000,0,24,600,0,1,75
364840,married,fixed,owner,715000,90000,5000,0,24,800,0,1,110
364841,married,fixed,tenant,245000,70000,0,0,60,1830,0,1,51
364842,married,fixed,tenant,150000,90000,0,0,48,1100,0,1,72
364843,single,fixed,tenant,70000,35000,0,0,42,600,0,1,72
364844,married,fixed,owner,190000,75000,3000,0,24,1000,0,1,82
364845,married,fixed,owner,152000,75000,3000,0,36,1000,0,1,83
364846,married,fixed,tenant,126000,75000,3000,0,60,1350,0,1,58
364847,married,freelance,owner,181000,75000,4000,0,18,600,1,0,88
364848,married,fixed,owner,185000,60000,3000,0,60,1200,0,1,80
364849,married,fixed,owner,170000,45000,2500,0,60,850,0,1,92
364850,married,fixed,tenant,176000,93000,7500,0,60,2000,0,1,61
364851,married,freelance,tenant,238000,60000,0,0,36,900,1,0,70
364852,married,fixed,tenant,115000,60000,5500,800,60,1000,0,1,73
364853,married,fixed,owner,200000,45000,9000,0,48,600,0,1,75
364854,married,freelance,owner,411000,75000,9000,4000,36,800,1,0,55
364855,married,fixed,owner,93000,75000,3000,0,24,700,0,1,71
364856,married,fixed,tenant,108000,86000,0,0,60,1000,0,1,57
364857,married,freelance,owner,500000,90000,4000,0,12,500,1,0,78
364858,married,freelance,tenant,45000,45000,0,0,36,900,1,0,48
364859,married,fixed,tenant,250000,70000,30000,0,36,1750,0,1,66
364860,married,fixed,owner,100000,45000,3000,0,48,900,0,1,94
364861,married,fixed,owner,70000,60000,4000,0,36,1000,0,1,75
364862,married,fixed,tenant,150000,60000,0,0,36,550,0,1,77
364863,married,fixed,owner,70000,60000,4500,0,36,850,0,1,89
364864,single,fixed,owner,263000,35000,2500,0,60,1000,0,1,53
364865,married,freelance,owner,200000,75000,9000,0,60,1000,1,0,66
364866,single,fixed,owner,78000,35000,6000,3000,24,500,0,1,70
364867,single,fixed,tenant,120000,47000,0,0,60,600,0,1,57
364868,married,fixed,owner,125000,60000,10000,0,60,1426,0,1,69
364869,single,parttime,tenant,50000,40000,0,0,60,1040,0,0,48
364870,married,fixed,tenant,146000,60000,0,0,60,1000,0,1,49
364871,single,fixed,tenant,70000,35000,0,0,60,950,0,1,70
364872,single,fixed,tenant,105000,35000,0,0,60,1490,0,1,36
364873,married,freelance,tenant,413000,101000,6000,0,36,750,1,0,75
364874,married,freelance,tenant,500000,95000,25000,21400,36,800,1,0,50
364875,married,freelance,tenant,350000,140000,0,0,48,1400,1,0,67
364876,married,freelance,owner,200000,75000,3000,0,36,1000,1,0,84
364877,married,fixed,tenant,138000,45000,0,0,36,250,0,1,56
364878,single,freelance,owner,80000,35000,4000,0,60,950,1,0,61
364879,married,freelance,owner,208000,120000,15000,0,36,1500,1,0,72
364880,married,fixed,tenant,137000,89000,4000,0,60,800,0,1,63
364881,married,freelance,owner,58000,45000,12000,0,48,1500,1,0,79
364882,married,fixed,tenant,130000,73000,0,0,60,1100,0,1,69
364883,married,fixed,owner,123000,75000,6000,1000,60,600,0,1,80
364884,married,parttime,tenant,180000,78000,0,0,36,650,0,0,40
364885,single,fixed,tenant,140000,35000,0,0,48,1950,0,1,43
364886,married,fixed,owner,315000,75000,4500,0,24,400,0,1,90
364887,married,parttime,tenant,164000,76000,0,0,36,900,0,0,45
364888,married,freelance,tenant,325000,90000,7000,0,60,1200,1,0,61
364889,married,fixed,owner,135000,45000,5000,1400,60,1600,0,1,61
364890,single,fixed,tenant,109000,35000,0,0,36,350,0,1,81
364891,married,fixed,tenant,185000,79000,0,0,60,950,0,1,73
364892,married,fixed,owner,217000,45000,9000,3000,24,1500,0,1,90
364893,married,freelance,owner,300000,90000,12500,2500,60,1340,1,0,90
364894,single,freelance,owner,77000,35000,4000,0,36,1000,1,0,59
364895,married,fixed,owner,253000,60000,3000,0,48,670,0,1,97
364896,married,fixed,owner,101000,75000,1500,400,36,1200,0,1,74
364897,married,freelance,owner,200000,35000,10000,0,36,800,1,0,70
364898,married,fixed,owner,124000,75000,3500,0,36,460,0,1,83
364899,married,fixed,owner,143000,45000,10000,0,24,950,0,1,92
364900,single,freelance,tenant,250000,35000,4000,1500,48,700,1,0,78
364901,married,fixed,owner,135000,75000,5500,1000,60,600,0,1,75
364902,married,fixed,tenant,115000,57000,0,0,60,900,0,1,68
364903,married,parttime,owner,160000,75000,4000,3000,60,1800,0,0,40
364904,married,fixed,tenant,214000,66000,0,0,60,1300,0,1,70
364905,married,fixed,tenant,390000,114000,0,0,60,1100,0,1,56
364906,single,freelance,owner,500000,45000,200000,0,48,2380,1,0,99
364907,single,parttime,tenant,95000,35000,0,0,60,1400,0,0,31
364908,married,fixed,owner,200000,75000,12000,0,60,1550,0,1,76
364909,single,parttime,tenant,85000,35000,0,0,24,650,0,0,56
364910,married,fixed,tenant,214000,90000,0,0,18,1000,0,1,63
364911,married,fixed,owner,140000,75000,3000,0,60,950,0,1,90
364912,married,fixed,tenant,60000,45000,0,0,60,1400,0,1,71
364913,married,fixed,owner,180000,75000,4000,0,60,1300,0,1,69
364914,married,freelance,owner,300000,60000,24000,9000,30,600,1,0,84
364915,married,freelance,tenant,200000,65000,0,0,60,700,1,0,74
364916,married,fixed,tenant,242000,75000,0,0,60,1300,0,1,76
364917,married,parttime,owner,155000,60000,5000,2500,60,900,0,0,74
364918,single,fixed,tenant,100000,45000,0,0,60,1150,0,1,65
364919,married,fixed,owner,105000,60000,3500,0,60,1100,0,1,74
364920,married,freelance,owner,166000,45000,2000,0,12,500,1,0,76
364921,single,fixed,tenant,120000,47000,0,0,60,800,0,1,49
364922,married,fixed,owner,115000,60000,6700,2000,36,1000,0,1,82
364923,married,freelance,owner,350000,90000,150000,0,24,3800,1,0,93
364924,married,freelance,owner,214000,75000,50000,0,36,1000,1,0,79
364925,married,fixed,tenant,442000,119000,6000,1947,60,900,0,1,73
364926,single,fixed,tenant,101000,35000,0,0,60,1300,0,1,47
364927,married,fixed,owner,122000,105000,5200,2000,36,850,0,1,70
364928,married,freelance,owner,250000,60000,10000,0,60,700,1,0,74
364929,single,freelance,tenant,90000,35000,0,0,24,600,1,0,67
364930,married,fixed,owner,160000,45000,6000,0,48,1200,0,1,87
364931,married,freelance,owner,300000,60000,4000,0,18,300,1,0,89
364932,single,fixed,tenant,83000,35000,0,0,48,1000,0,1,69
364933,married,freelance,owner,200000,45000,11000,0,60,1100,1,0,73
364934,married,parttime,tenant,60000,60000,0,0,60,1300,0,0,44
364935,single,parttime,tenant,205000,35000,0,0,60,1400,0,0,34
364936,married,freelance,owner,133000,75000,12000,900,24,1500,1,0,66
364937,married,fixed,tenant,179000,78000,0,0,36,900,0,1,54
364938,single,freelance,owner,69000,35000,4000,0,48,1200,1,0,63
